Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
ein	ART.Nom.Sg.Masc	ein
schöner	ADJA.Pos.Nom.Sg.Masc	schöner
,	$,	,
stiller	ADJA.Pos.Nom.Sg.Masc	stiller
Aprilmorgen	NN.Nom.Sg.Masc	Aprilmorgen
,	$,	,
still	ADJD.Pos	still
wie	KOKOM	wie
er	PPER.3.Nom.Sg.Masc	er
nur	ADV	nur
im	APPRART.Dat.Sg.Neut	in
Deutschland	NE.Dat.Sg.Neut	Deutschland
der	ART.Gen.Pl.Neut	der
zwanziger	ADJA.Pos.*.*.*	zwanziger
Jahre	NN.Gen.Pl.Neut	Jahr
,	$,	,
in	APPR	in
welches	PRELS.Acc.Sg.Neut	welcher
wir	PPER.1.Nom.Pl.*	wir
uns	PRF.1.Acc.Pl	sich
hiermit	ADV	hiermit
zurückversetzen	VVFIN.1.Pl.Pres.Ind	zurückversetzen
,	$,	,
und	KON	und
in	APPR	in
einem	ART.Dat.Sg.Neut	ein
einsamen	ADJA.Pos.Dat.Sg.Neut	einsamen
hochgelegenen	ADJA.Pos.Dat.Sg.Neut	hochgelegenen
schwäbischen	ADJA.Pos.Dat.Sg.Neut	schwäbischen
Bergdörfchen	NN.Dat.Sg.Neut	Bergdörfchen
gedacht	VVPP.Psp	denken
werden	VAINF.Inf	werden
kann	VMFIN.3.Sg.Pres.Ind	können
.	$.	.

