Es	PPER.3.Nom.Sg.Neut	es
mögen	VMFIN.3.Pl.Pres.Ind	mögen
jetzt	ADV	jetzt
wohl	ADV	wohl
mehr	PIAT.*.*.*	mehr
als	KOKOM	als
zwanzig	CARD	zwanzig
Jahre	NN.Acc.Pl.Neut	Jahr
vorüber	ADV	vorüber
gegangen	VVPP.Psp	gehen
sein	VAINF.Inf	sein
,	$,	,
als	KOKOM	als
ein	ART.Acc.Sg.Neut	ein
großes	ADJA.Pos.Acc.Sg.Neut	große
Boot	NN.Acc.Sg.Neut	Boot
von	APPR	von
sechs	CARD	sechs
Rudern	NN.Dat.Pl.Neut	Rud
,	$,	,
mit	APPR	mit
einer	ART.Dat.Sg.Fem	ein
Halbkajüte	NN.Dat.Sg.Fem	Halbkajüte
versehen	VVPP.Psp	versehen
,	$,	,
an	APPR	an
der	ART.Dat.Sg.Fem	der
Küste	NN.Dat.Sg.Fem	Küste
des	ART.Gen.Sg.Neut	der
Norwegischen	ADJA.Pos.Gen.Sg.Neut	norwegischen
Hochlandes	NN.Gen.Sg.Neut	Hochland
hinfuhr	VVFIN.3.Sg.Past.Ind	hinfahren
,	$,	,
das	PRELS.Nom.Sg.Neut	der
jenseits	APPR	jenseits
des	ART.Gen.Sg.Neut	der
großen	ADJA.Pos.Gen.Sg.Masc	groß
Westfjord	NE.Gen.Sg.Masc	Westfjord
und	KON	und
des	ART.Gen.Sg.Masc	der
Polarkreises	NN.Gen.Sg.Masc	Polarkreis
,	$,	,
bis	APPR	bis
nach	APPR	nach
dem	ART.Dat.Sg.Masc	der
Nordcap	NE.Dat.Sg.Masc	Nordcap
hinauf	VVFIN.3.Sg.Past.Ind	hinaufen
,	$,	,
ein	ART.Acc.Sg.Neut	ein
wildes	ADJA.Pos.Nom.Sg.Neut	wild
Labyrinth	NN.Nom.Sg.Neut	Labyrinth
von	APPR	von
Felsen	NN.Dat.Pl.Masc	Fels
,	$,	,
Inseln	NN.Dat.Pl.Fem	Insel
,	$,	,
Inselbrocken	NN.Dat.Pl.Fem	Inselbrocke
und	KON	und
zahllosen	ADJA.Pos.Dat.Pl.Masc	zahllos
Sunden	NN.Dat.Pl.Masc	Sunde
und	KON	und
Meeresarmen	NN.Dat.Pl.Fem	Meeresarm
darstellt	VVFIN.3.Sg.Pres.Ind	darstellen
,	$,	,
welche	PRELS.Nom.Pl.*	welcher
tief	ADJD.Pos	tief
in	APPR	in
den	ART.Acc.Sg.Masc	der
Schooß	NN.Acc.Sg.Masc	Schooß
der	ART.Gen.Pl.*	der
Gebirge	NN.Gen.Pl.Neut	Gebirge
und	KON	und
Klüfte	NN.Gen.Sg.Fem	Klüfte
dringen	VVFIN.3.Pl.Pres.Ind	dringen
.	$.	.

