Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
18**	CARD	18<unk><unk>
und	KON	und
December	NN.Nom.Sg.Masc	December
und	KON	und
24	CARD	24
Grad	NN.*.*.Neut	Grad
Kälte	NN.Nom.Sg.Fem	Kälte
,	$,	,
Mondschein	NN.Nom.Sg.Masc	Mondschein
und	KON	und
Hochzeit	NN.Nom.Sg.Fem	Hochzeit
,	$,	,
und	KON	und
zwar	ADV	zwar
im	APPRART.Dat.Sg.Neut	in
Dorfe	NN.Dat.Sg.Neut	Dorf
Ober-Eyseln	NE.Nom.Sg.Neut	Ober-Eyseln
,	$,	,
da	KOUS	da
oben	ADV	oben
in	APPR	in
Lithauen	NE.Dat.Sg.Neut	Lithauen
,	$,	,
hart	ADJD.Pos	hart
an	APPR	an
der	ART.Dat.Sg.Fem	der
russischen	ADJA.Pos.Dat.Sg.Fem	russisch
Grenze	NN.Dat.Sg.Fem	Grenze
.	$.	.

