Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
Sommers-Frühe	NE.Nom.Sg.Fem	Sommers-Frühe
,	$,	,
die	ART.Nom.Pl.Neut	der
Nachtigallen	NN.Nom.Pl.Neut	Nachtigallen
ſangen	VVFIN.3.Pl.Past.Ind	eingen
erſt	ADJD.Pos	er<unk>t
ſeit	APPR	<unk>
einigen	PIAT.Dat.Pl.Masc	einiger
Tagen	NN.Dat.Pl.Masc	Tag
durch	APPR	durch
die	ART.Acc.Pl.Fem	der
Straßen	NN.Acc.Pl.Fem	Straße
,	$,	,
und	KON	und
verſtummten	VVFIN.3.Pl.Past.Ind	ver<unk>tummen
heut	ADV	heut
in	APPR	in
einer	ART.Dat.Sg.Fem	ein
kühlen	ADJA.Pos.Dat.Sg.Fem	kühl
Nacht	NN.Dat.Sg.Fem	Nacht
,	$,	,
welche	PRELS.Nom.Sg.Fem	welcher
von	APPR	von
fernen	ADJA.Pos.Dat.Pl.Neut	fern
Gewittern	NN.Dat.Pl.Neut	Gewitter
zu	APPR	zu
uns	PPER.1.Dat.Pl.*	uns
herwehte	VVFIN.3.Sg.Past.Ind	herwehen
;	$.	;
der	ART.Nom.Sg.Masc	der
Nachtwächter	NN.Nom.Sg.Masc	Nachtwächter
rief	VVFIN.3.Sg.Past.Ind	rufen
die	ART.Acc.Sg.Fem	der
elfte	ADJA.Pos.Acc.Sg.Fem	elfte
Stunde	NN.Acc.Sg.Fem	Stunde
an	PTKVZ	an
,	$,	,
da	KOUS	da
ſah	VVFIN.1.Sg.Past.Ind	einen
ich	PPER.1.Nom.Sg.*	ich
,	$,	,
nach	APPR	nach
Hauſe	NE.Dat.Sg.Neut	Hau<unk>e
gehend	ADJD.Pos	gehend
,	$,	,
vor	APPR	vor
der	ART.Dat.Sg.Fem	der
Thür	NN.Dat.Sg.Fem	Thür
eines	ART.Gen.Sg.Neut	ein
großen	ADJA.Pos.Gen.Sg.Neut	große
Gebäudes	NN.Gen.Sg.Neut	Gebäude
einen	ART.Acc.Sg.Masc	ein
Trupp	NN.Acc.Sg.Masc	Trupp
von	APPR	von
allerlei	PIAT.*.*.*	allerlei
Geſellen	NN.Dat.Pl.Masc	Ge<unk>ell
,	$,	,
die	PRELS.Nom.Pl.Masc	der
vom	APPRART.Dat.Sg.Neut	von
Biere	NN.Dat.Sg.Neut	Bier
kamen	VVFIN.3.Pl.Past.Ind	kommen
,	$,	,
um	APPR	um
Jemand	NE.Acc.Sg.Masc	Jemand
,	$,	,
der	PRELS.Nom.Sg.Masc	der
auf	APPR	auf
den	ART.Dat.Pl.Fem	der
Thürſtufen	NN.Dat.Pl.Fem	Thür<unk>tufe
ſaß	VVFIN.3.Sg.Past.Ind	essen
,	$,	,
verſammelt	VVFIN.3.Sg.Pres.Ind	ver<unk>ammeln
.	$.	.

