Es	PPER.3.Nom.Sg.Neut	es
mochte	VVFIN.3.Sg.Past.Ind	mögen
gegen	APPR	gegen
das	ART.Acc.Sg.Neut	der
Ende	NN.Acc.Sg.Neut	Ende
des	ART.Gen.Sg.Neut	der
vergangenen	ADJA.Pos.Gen.Sg.Neut	vergangenen
Jahrhunderts	NN.Gen.Sg.Neut	Jahrhundert
sein	VAINF.Inf	sein
;	$.	;
die	ART.Nom.Sg.Fem	der
französische	ADJA.Pos.Nom.Sg.Fem	französisch
Revolution	NN.Nom.Sg.Fem	Revolution
,	$,	,
deren	PRELAT.Gen.Sg.Fem	der
furchtbarer	ADJA.Pos.Nom.Sg.Masc	furchtbarer
Ausbruch	NN.Nom.Sg.Masc	Ausbruch
nur	ADV	nur
wenige	PIAT.Acc.Pl.Neut	weniger
Jahre	NN.Acc.Pl.Neut	Jahr
danach	PROAV	danach
erfolgte	VVFIN.3.Sg.Past.Ind	erfolgen
,	$,	,
kündigte	VVFIN.3.Sg.Past.Ind	kündigen
schon	ADV	schon
hier	ADV	hier
und	KON	und
da	ADV	da
durch	APPR	durch
verlängerte	ADJA.Pos.Acc.Pl.Masc	verlängert
Stöße	NN.Acc.Pl.Masc	Stoß
der	ART.Gen.Sg.Fem	der
unterwühlten	ADJA.Pos.Gen.Sg.Fem	unterwühlt
Gesellschaft	NN.Gen.Sg.Fem	Gesellschaft
ihre	PPOSAT.Acc.Sg.Fem	ihr
Annäherung	NN.Acc.Sg.Fem	Annäherung
an	PTKVZ	an
;	$.	;
da	ADV	da
kehrte	VVFIN.3.Sg.Past.Ind	kehren
Graf	NN.Nom.Sg.Masc	Graf
Thornstein	NE.Nom.Sg.Masc	Thornstein
auf	APPR	auf
seine	PPOSAT.Acc.Pl.Neut	sein
Güter	NN.Acc.Pl.Neut	Gut
nach	APPR	nach
Deutschland	NE.Dat.Sg.Neut	Deutschland
zurück	PTKVZ	zurück
.	$.	.

