Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
ein	ART.Nom.Sg.Masc	ein
ſchoͤner	ADJA.Pos.Nom.Sg.Masc	<unk>
Sommerabend	NN.Nom.Sg.Masc	Sommerabend
,	$,	,
als	KOKOM	als
Florio	NE.Nom.Sg.Masc	Florio
,	$,	,
ein	ART.Nom.Sg.Masc	ein
junger	ADJA.Pos.Nom.Sg.Masc	junger
Edelmann	NN.Nom.Sg.Masc	Edelmann
,	$,	,
langſam	ADJD.Pos	lang<unk>am
auf	APPR	auf
die	ART.Acc.Sg.Fem	der
Thore	NE.Acc.Sg.Fem	Thore
von	APPR	von
Lucca	NE.Dat.Sg.*	Lucca
zuritt	VVFIN.3.Sg.Pres.Ind	zureten
,	$,	,
ſich	PRF.3.Acc.Sg	sich
erfreuend	ADJD.Pos	erfreuend
an	APPR	an
dem	ART.Dat.Sg.Masc	der
feinen	ADJA.Pos.Dat.Sg.Masc	fein
Dufte	NN.Dat.Sg.Masc	Duft
,	$,	,
der	PRELS.Nom.Sg.Masc	der
uͤber	APPR	u<unk>ber
der	ART.Dat.Sg.Fem	der
wunderſchoͤnen	ADJA.Pos.Dat.Sg.Fem	wunder<unk>cho<unk>nen
Landſchaft	NN.Dat.Sg.Fem	Land<unk>chaft
und	KON	und
den	ART.Dat.Pl.*	der
Thuͤrmen	NN.Dat.Pl.Fem	Thu<unk>rme
und	KON	und
Daͤchern	NN.Dat.Pl.Masc	Da<unk>cher
der	ART.Gen.Sg.Fem	der
Stadt	NN.Gen.Sg.Fem	Stadt
vor	APPR	vor
ihm	PPER.3.Dat.Sg.Masc	ihm
zitterte	VVFIN.3.Sg.Past.Ind	zittern
,	$,	,
ſo	ADV	<unk>
wie	KOKOM	wie
an	APPR	an
den	ART.Dat.Pl.Fem	der
bunten	ADJA.Pos.Dat.Pl.Fem	bunt
Zuͤgen	NN.Dat.Pl.Fem	Zu<unk>ge
zierlicher	ADJA.Pos.Gen.Pl.*	zierlich
Damen	NN.Gen.Pl.Fem	Dame
und	KON	und
Herren	NN.Gen.Pl.Masc	Herr
,	$,	,
welche	PRELS.Nom.Pl.Fem	welcher
ſich	PRF.3.Acc.Pl	sich
zu	APPR	zu
beiden	PIAT.Dat.Pl.Fem	beide
Seiten	NN.Dat.Pl.Fem	Seite
der	ART.Gen.Sg.Fem	der
Straße	NN.Gen.Sg.Fem	Straße
unter	APPR	unter
den	ART.Dat.Pl.Fem	der
hohen	ADJA.Pos.Dat.Pl.Fem	hoch
Kaſtanien-Alleen	NN.Dat.Pl.Fem	Ka<unk>tanien-Allee
froͤhlichſchwaͤrmend	ADJD.Pos	fro<unk>hlich<unk>chwa<unk>rmend
ergingen	VVFIN.3.Pl.Past.Ind	ergehen
.	$.	.

