Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
an	APPR	an
einem	ART.Dat.Sg.Masc	ein
warmen	ADJA.Pos.Dat.Sg.Masc	warm
Juniabend	NN.Dat.Sg.Masc	Juniabend
des	ART.Gen.Sg.Neut	der
Jahres	NN.Gen.Sg.Neut	Jahr
184.	ADV	184.
,	$,	,
als	KOKOM	als
ein	ART.Nom.Sg.Masc	ein
mit	APPR	mit
zwei	CARD	zwei
ſchwerfälligen	ADJA.Pos.Dat.Pl.Masc	<unk>
Braunen	NN.Dat.Pl.Masc	Braun
beſpannter	ADJA.Pos.Gen.Pl.Masc	be<unk>pannt
Stuhlwagen	NN.Gen.Pl.Masc	Stuhlwagen
mühſam	ADJD.Pos	müh<unk>am
in	APPR	in
dem	ART.Dat.Sg.Masc	der
tiefen	ADJA.Pos.Dat.Sg.Masc	tief
Sandwege	NN.Dat.Sg.Masc	Sandweg
eines	ART.Gen.Sg.Masc	ein
Tannenforſtes	NN.Gen.Sg.Masc	Tannenfor<unk>t
dahinfuhr	VVFIN.3.Sg.Past.Ind	dahinfahren
.	$.	.

