Ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
hatte	VAFIN.3.Sg.Past.Ind	haben
drei	CARD	drei
Töchter	NN.Acc.Pl.Fem	Tochter
und	KON	und
wollte	VMFIN.3.Sg.Past.Ind	wollen
einst	ADV	einst
verreisen	VVINF.Inf	verreisen
,	$,	,
da	ADV	da
mußten	VMFIN.3.Pl.Past.Ind	müssen
seine	PPOSAT.Acc.Pl.Fem	sein
Töchter	NN.Nom.Pl.Fem	Tochter
loosen	VVINF.Inf	loosen
,	$,	,
welche	PRELS.Nom.Pl.Fem	welcher
von	APPR	von
ihnen	PPER.3.Dat.Pl.Fem	ihnen
daheim	ADV	daheim
bleiben	VVINF.Inf	bleiben
und	KON	und
das	ART.Acc.Sg.Neut	der
Haus	NN.Acc.Sg.Neut	Haus
behüten	VVINF.Inf	behüten
sollte	VMFIN.3.Sg.Past.Ind	sollen
.	$.	.

