Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
reicher	ADJA.Pos.Nom.Sg.Masc	reicher
Mann	NN.Nom.Sg.Masc	Mann
,	$,	,
der	PDS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
eine	ART.Acc.Sg.Fem	ein
einzige	ADJA.Pos.Acc.Sg.Fem	einziger
schöne	ADJA.Pos.Acc.Sg.Fem	schön
Tochter	NN.Acc.Sg.Fem	Tochter
,	$,	,
welche	PRELS.Acc.Sg.Fem	welcher
er	PPER.3.Nom.Sg.Masc	er
über	APPR	über
alle	PIAT.Acc.Pl.Fem	aller
Maßen	NN.Acc.Pl.Fem	Maße
liebte	VVFIN.3.Sg.Past.Ind	lieben
.	$.	.

