Als	KOUS	als
der	ART.Nom.Sg.Masc	der
liebe	ADJA.Pos.Nom.Sg.Masc	lieb
Gott	NN.Nom.Sg.Masc	Gott
alle	PIAT.Acc.Sg.Fem	aller
Thiere	NN.Acc.Sg.Fem	Thiere
erschaffen	VVPP.Psp	erschaffen
hatte	VAFIN.3.Sg.Past.Ind	haben
,	$,	,
da	ADV	da
wollte	VMFIN.3.Sg.Past.Ind	wollen
der	ART.Dat.Sg.Fem	der
Maulaffe	NN.Dat.Sg.Fem	Maulaffe
,	$,	,
der	ART.Nom.Sg.Masc	der
Teufel	NN.Nom.Sg.Masc	Teufel
,	$,	,
dem	ART.Dat.Sg.Masc	der
lieben	VVFIN.3.Pl.Pres.Ind	lieben
Herrgott	NN.Dat.Sg.Masc	Herrgott
es	PPER.3.Acc.Sg.Neut	es
nachmachen	VVFIN.3.Pl.Pres.Ind	nachmachen
,	$,	,
und	KON	und
da	ADV	da
machte	VVFIN.3.Sg.Past.Ind	machen
er	PPER.3.Nom.Sg.Masc	er
Geisen	NN.Acc.Pl.Fem	Geise
oder	KON	oder
Ziegen	NN.Acc.Pl.Fem	Ziege
mit	APPR	mit
feinen	ADJA.Pos.Dat.Pl.Masc	fein
hübschen	ADJA.Pos.Dat.Pl.Masc	hübsch
langen	ADJA.Pos.Dat.Pl.Masc	lang
Schwänzen	NN.Dat.Pl.Masc	Schwanz
.	$.	.

