Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
armer	ADJA.Pos.Nom.Sg.Masc	armer
Leinweber	NN.Nom.Sg.Masc	Leinweber
,	$,	,
zu	APPR	zu
dem	PRELS.Dat.Sg.Masc	der
kamen	VVFIN.3.Pl.Past.Ind	kommen
drei	CARD	drei
reiche	ADJA.Pos.Nom.Pl.Masc	reich
Studenten	NN.Nom.Pl.Masc	Student
,	$,	,
und	KON	und
da	KOUS	da
sie	PPER.3.Nom.Pl.Masc	sie
sahen	VVFIN.3.Pl.Past.Ind	sehen
,	$,	,
daß	KOUS	daß
der	ART.Nom.Sg.Masc	der
Mann	NN.Nom.Sg.Masc	Mann
sehr	ADV	sehr
arm	ADJD.Pos	arm
war	VAFIN.3.Sg.Past.Ind	sein
,	$,	,
so	ADV	so
schenkten	VVFIN.3.Pl.Past.Ind	schenken
sie	PPER.3.Nom.Pl.Masc	sie
ihm	PPER.3.Dat.Sg.Masc	ihm
in	APPR	in
seine	PPOSAT.Acc.Sg.Fem	sein
Wirtschaft	NN.Acc.Sg.Fem	Wirtschaft
hundert	CARD	hundert
Taler	NN.Acc.Pl.Neut	Tal
.	$.	.

