Ein	ART.Nom.Sg.Masc	ein
Spielmann	NN.Nom.Sg.Masc	Spielmann
hatte	VAFIN.3.Sg.Past.Ind	haben
so	ADV	so
viele	PIAT.Acc.Pl.Fem	vieler
Wanzen	NN.Acc.Pl.Fem	Wanze
in	APPR	in
seinem	PPOSAT.Dat.Sg.Neut	sein
Hause	NN.Dat.Sg.Neut	Haus
,	$,	,
daß	KOUS	daß
es	PPER.3.Nom.Sg.Neut	es
nicht	PTKNEG	nicht
zum	APPRART.Dat.Sg.Neut	zu
Aushalten	NN.Dat.Sg.Neut	Aushalten
war	VAFIN.3.Sg.Past.Ind	sein
;	$.	;
was	PRELS.Acc.Sg.Neut	was
er	PPER.3.Nom.Sg.Masc	er
aber	ADV	aber
auch	ADV	auch
dagegen	PROAV	dagegen
gebrauchen	VVINF.Inf	gebrauchen
mochte	VVFIN.3.Sg.Past.Ind	mögen
,	$,	,
das	PDS.Nom.Sg.Neut	der
war	VAFIN.3.Sg.Past.Ind	sein
Alles	PIS.Nom.Sg.Neut	alle
umsonst	ADV	umsonst
.	$.	.

