Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
eine	ART.Nom.Sg.Fem	ein
Witfrau	NN.Nom.Sg.Fem	Witfrau
,	$,	,
die	PRELS.Nom.Sg.Fem	der
hatte	VAFIN.3.Sg.Past.Ind	haben
drei	CARD	drei
Söhne	NN.Acc.Pl.Masc	Sohn
,	$,	,
Namens	NN.Acc.Pl.Masc	Name
Kasper	NE.Acc.Sg.*	Kasper
,	$,	,
Melchior	FM	Melchior
und	KON	und
Baltes	NN.Acc.Sg.Neut	Balte
,	$,	,
die	PRELS.Nom.Pl.Masc	der
erlernten	ADJA.Pos.Nom.Pl.*	erlernt
alle	PIAT.Nom.Pl.*	aller
drei	CARD	drei
ein	ART.Acc.Sg.Neut	ein
Handwerk	NN.Acc.Sg.Neut	Handwerk
;	$.	;
der	ART.Nom.Sg.Masc	der
älteste	ADJA.Sup.Nom.Sg.Masc	alt
wurde	VAFIN.3.Sg.Past.Ind	werden
ein	ART.Nom.Sg.Masc	ein
Weber	NN.Nom.Sg.Masc	Weber
,	$,	,
der	ART.Nom.Sg.Masc	der
andere	PIS.Nom.Sg.Masc	anderer
ein	ART.Nom.Sg.Masc	ein
Schuhmacher	NN.Nom.Sg.Masc	Schuhmacher
,	$,	,
der	PRELS.Nom.Sg.Masc	der
dritte	VVFIN.3.Sg.Past.Ind	dreiten
ein	ART.Nom.Sg.Masc	ein
Sattler	NN.Nom.Sg.Masc	Sattler
.	$.	.

