Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
eine	ART.Nom.Sg.Fem	ein
arme	ADJA.Pos.Nom.Sg.Fem	arm
Witwe	NN.Nom.Sg.Fem	Witwe
,	$,	,
die	PRELS.Nom.Sg.Fem	der
hatte	VAFIN.3.Sg.Past.Ind	haben
einen	ART.Acc.Sg.Masc	ein
großen	ADJA.Pos.Acc.Sg.Masc	groß
bösen	ADJA.Pos.Acc.Sg.Masc	böse
Sohn	NN.Acc.Sg.Masc	Sohn
,	$,	,
dem	PRELS.Dat.Sg.Masc	der
mußte	VMFIN.3.Sg.Past.Ind	müssen
sie	PPER.3.Nom.Sg.Fem	sie
täglich	ADJD.Pos	täglich
eins	PIS.Acc.Sg.Neut	einer
von	APPR	von
ihren	PPOSAT.Dat.Pl.Neut	ihr
Hühnern	NN.Dat.Pl.Neut	Huhn
schlachten	VVINF.Inf	schlachten
und	KON	und
kochen	VVINF.Inf	kochen
,	$,	,
damit	KOUS	damit
er	PPER.3.Nom.Sg.Masc	er
nur	ADV	nur
arbeite	VVFIN.3.Sg.Pres.Subj	arbeiten
.	$.	.

