Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
junger	ADJA.Pos.Nom.Sg.Masc	junger
König	NN.Nom.Sg.Masc	König
,	$,	,
den	PDS.Acc.Sg.Masc	der
nannte	VVFIN.3.Sg.Past.Ind	nennen
man	PIS.Nom.Sg.*	man
gewöhnlich	ADJD.Pos	gewöhnlich
:	$.	:
König	NN.Nom.Sg.Masc	König
Auffahrer	NN.Nom.Sg.Masc	Auffahrer
des	ART.Gen.Sg.Neut	der
Meers	NN.Gen.Sg.Neut	Meer
,	$,	,
wahrscheinlich	ADJD.Pos	wahrscheinlich
,	$,	,
weil	KOUS	weil
er	PPER.3.Nom.Sg.Masc	er
schon	ADV	schon
viel	PIS.*.*.*	viel
auf	APPR	auf
dem	ART.Dat.Sg.Neut	der
Meer	NN.Dat.Sg.Neut	Meer
herumgefahren	VVFIN.3.Sg.Pres.Ind	herumgefahren
.	$.	.

