Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
reicher	ADJA.Pos.Nom.Sg.Masc	reicher
Mann	NN.Nom.Sg.Masc	Mann
,	$,	,
der	PRELS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
einen	ART.Acc.Sg.Masc	ein
Knecht	NN.Acc.Sg.Masc	Knecht
,	$,	,
der	PRELS.Nom.Sg.Masc	der
diente	VVFIN.3.Sg.Past.Ind	dienen
ihm	PPER.3.Dat.Sg.Masc	ihm
fleißig	ADJD.Pos	fleißig
und	KON	und
redlich	ADJD.Pos	redlich
,	$,	,
war	VAFIN.3.Sg.Past.Ind	sein
alle	PIAT.Acc.Pl.Masc	aller
Morgen	NN.Acc.Pl.Masc	Morgen
der	ART.Nom.Sg.Masc	der
erste	ADJA.Pos.Nom.Sg.Masc	erster
aus	APPR	aus
dem	ART.Dat.Sg.Neut	der
Bett	NN.Dat.Sg.Neut	Bett
und	KON	und
abends	ADV	abends
der	ART.Nom.Sg.Masc	der
letzte	ADJA.Pos.Nom.Sg.Masc	letzter
hinein	PTKVZ	hinein
,	$,	,
und	KON	und
wenns	KOUS	wenns
eine	ART.Acc.Sg.Fem	ein
saure	ADJA.Pos.Acc.Sg.Fem	sauer
Arbeit	NN.Acc.Sg.Fem	Arbeit
gab	VVFIN.3.Sg.Past.Ind	geben
,	$,	,
wo	PWAV	wo
keiner	PIS.Nom.Sg.Masc	keiner
anpacken	VVINF.Inf	anpacken
wollte	VMFIN.3.Sg.Past.Ind	wollen
,	$,	,
so	ADV	so
stellte	VVFIN.3.Sg.Past.Ind	stellen
er	PPER.3.Nom.Sg.Masc	er
sich	PRF.3.Acc.Sg	sich
immer	ADV	immer
zuerst	ADV	zuerst
daran	PROAV	daran
.	$.	.

