Es	PPER.3.Nom.Sg.Neut	es
wohnten	VVFIN.3.Pl.Past.Ind	wohnen
in	APPR	in
einem	ART.Dat.Sg.Neut	ein
Dorfe	NN.Dat.Sg.Neut	Dorf
ein	ART.Acc.Sg.Neut	ein
Paar	NN.Acc.Sg.Neut	Paar
sehr	ADV	sehr
arme	ADJA.Pos.Nom.Pl.*	arm
alte	ADJA.Pos.Nom.Pl.*	alt
Leute	NN.Nom.Pl.*	Leute
mutterseelenallein	ADJD.Pos	mutterseelenallein
in	APPR	in
einem	ART.Dat.Sg.Neut	ein
geringen	ADJA.Pos.Dat.Sg.Neut	geringen
Häuslein	NN.Dat.Sg.Neut	Häuslein
,	$,	,
das	PRELS.Nom.Sg.Neut	der
ganz	ADV	ganz
weit	ADJD.Pos	weit
draußen	ADV	draußen
stand	VVFIN.3.Sg.Past.Ind	stehen
,	$,	,
und	KON	und
hörte	VVFIN.3.Sg.Past.Ind	hören
gerade	ADV	gerade
mit	APPR	mit
diesem	PDAT.Dat.Sg.Neut	dieser
Häuslein	NN.Dat.Sg.Neut	Häuslein
das	ART.Acc.Sg.Neut	der
Dorf	NN.Acc.Sg.Neut	Dorf
auf	PTKVZ	auf
.	$.	.

