Als	KOUS	als
der	ART.Nom.Sg.Masc	der
erste	ADJA.Pos.Nom.Sg.Masc	erster
Schneider	NN.Nom.Sg.Masc	Schneider
in	APPR	in
den	ART.Acc.Sg.Masc	der
Himmel	NN.Acc.Sg.Masc	Himmel
aufgenommen	VVPP.Psp	aufnehmen
wurde	VAFIN.3.Sg.Past.Ind	werden
,	$,	,
entstand	VVFIN.3.Sg.Past.Ind	entstehen
dort	ADV	dort
eine	ART.Nom.Sg.Fem	ein
große	ADJA.Pos.Nom.Sg.Fem	groß
Freude	NN.Nom.Sg.Fem	Freude
,	$,	,
weil's	ADV	weil's
etwas	PIAT.*.*.*	etwas
gar	ADV	gar
Unerwartetes	NN.Nom.Sg.Neut	Unerwartete
und	KON	und
Seltenes	NN.Nom.Sg.Neut	Seltene
war	VAFIN.3.Sg.Past.Ind	sein
,	$,	,
und	KON	und
der	ART.Nom.Sg.Masc	der
liebe	ADJA.Pos.Nom.Sg.Masc	lieb
Gott	NN.Nom.Sg.Masc	Gott
verordnete	VVFIN.3.Sg.Past.Ind	verordnen
deshalb	PROAV	deshalb
eine	ART.Acc.Sg.Fem	ein
feierliche	ADJA.Pos.Acc.Sg.Fem	feierliche
Prozession	NN.Acc.Sg.Fem	Prozession
zu	APPR	zu
Ehren	NN.Dat.Pl.Fem	Ehre
des	ART.Gen.Sg.Masc	der
Schneiders	NN.Gen.Sg.Masc	Schneider
.	$.	.

