Es	PPER.3.Nom.Sg.Neut	es
fuhr	VVFIN.3.Sg.Past.Ind	fahren
einmal	ADV	einmal
ein	ART.Acc.Sg.Neut	ein
armes	ADJA.Pos.Acc.Sg.Neut	armes
Dienstmädchen	NN.Acc.Sg.Neut	Dienstmädchen
mit	APPR	mit
seiner	PPOSAT.Dat.Sg.Fem	sein
Herrschaft	NN.Dat.Sg.Fem	Herrschaft
durch	APPR	durch
einen	ART.Acc.Sg.Masc	ein
großen	ADJA.Pos.Acc.Sg.Masc	groß
Wald	NN.Acc.Sg.Masc	Wald
,	$,	,
und	KON	und
als	KOUS	als
sie	PPER.3.Nom.Pl.*	sie
mitten	ADV	mitten
darin	PROAV	darin
waren	VAFIN.3.Pl.Past.Ind	sein
,	$,	,
kamen	VVFIN.3.Pl.Past.Ind	kommen
Räuber	NN.Nom.Pl.Masc	Räuber
aus	APPR	aus
dem	ART.Dat.Sg.Neut	der
Dickicht	NN.Dat.Sg.Neut	Dickicht
hervor	PTKVZ	hervor
und	KON	und
ermordeten	VVFIN.3.Pl.Past.Ind	ermorden
,	$,	,
wen	PWS.Acc.Sg.*	wen
sie	PPER.3.Nom.Pl.*	sie
fanden	VVFIN.3.Pl.Past.Ind	finden
.	$.	.

