Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
gar	ADV	gar
armer	ADJA.Pos.Nom.Sg.Masc	armer
Schlucker	NN.Nom.Sg.Masc	Schlucker
,	$,	,
der	PRELS.Nom.Sg.Masc	der
stand	VVFIN.3.Sg.Past.Ind	stehen
in	APPR	in
nächster	ADJA.Pos.Dat.Sg.Fem	nächster
Verwandtschaft	NN.Dat.Sg.Fem	Verwandtschaft
mit	APPR	mit
dem	ART.Dat.Sg.Masc	der
allbekannten	ADJA.Pos.Dat.Sg.Masc	allbekannt
Herrn	NN.Dat.Sg.Masc	Herr
von	APPR	von
Habenichts	NE.*.*.*	Habenichts
,	$,	,
und	KON	und
war	VAFIN.3.Sg.Past.Ind	sein
ein	ART.Nom.Sg.Masc	ein
Gevatter	NN.Nom.Sg.Masc	Gevatter
zum	APPRART.Dat.Sg.Masc	zu
Herrn	NN.Dat.Sg.Masc	Herr
von	APPR	von
Tuenichts	NE.Gen.Sg.*	Tuenicht
,	$,	,
und	KON	und
die	ART.Nom.Sg.Fem	der
Arbeit	NN.Nom.Sg.Fem	Arbeit
war	VAFIN.3.Sg.Past.Ind	sein
ihm	PPER.3.Dat.Sg.Masc	ihm
äußerst	ADV	äußerst
verhaßt	VVPP.Psp	verhassen
.	$.	.

