Es	PPER.3.Nom.Sg.Neut	es
waren	VAFIN.3.Pl.Past.Ind	sein
einmal	ADV	einmal
zwei	CARD	zwei
Brüder	NN.Nom.Pl.Masc	Bruder
,	$,	,
von	APPR	von
denen	PRELS.Dat.Pl.Masc	der
war	VAFIN.3.Sg.Past.Ind	sein
der	ART.Nom.Sg.Masc	der
eine	PIS.Nom.Sg.Masc	einer
,	$,	,
der	ART.Nom.Sg.Masc	der
älteste	ADJA.Sup.Nom.Sg.Masc	alt
,	$,	,
nicht	PTKNEG	nicht
auf	APPR	auf
den	ART.Acc.Sg.Masc	der
Kopf	NN.Acc.Sg.Masc	Kopf
gefallen	VVPP.Psp	fallen
,	$,	,
vielmehr	ADV	vielmehr
anstellig	ADJD.Pos	anstellig
und	KON	und
pfiffig	ADJD.Pos	pfiffig
über	APPR	über
alle	PIAT.Acc.Pl.Fem	aller
Maßen	NN.Acc.Pl.Fem	Maße
;	$.	;
der	ART.Nom.Sg.Masc	der
jüngere	ADJA.Comp.Nom.Sg.Masc	jung
aber	ADV	aber
hatte	VAFIN.3.Sg.Past.Ind	haben
,	$,	,
wie	PWAV	wie
man	PIS.Nom.Sg.*	man
so	ADV	so
sagt	VVFIN.3.Sg.Pres.Ind	sagen
,	$,	,
ein	ART.Acc.Sg.Neut	ein
Brett	NN.Acc.Sg.Neut	Brett
vor	APPR	vor
dem	ART.Dat.Sg.Masc	der
Kopf	NN.Dat.Sg.Masc	Kopf
.	$.	.

