Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
ein	ART.Nom.Sg.Masc	ein
reicher	ADJA.Pos.Nom.Sg.Masc	reicher
Müller	NN.Nom.Sg.Masc	Müller
,	$,	,
der	PRELS.Nom.Sg.Masc	der
wohnte	VVFIN.3.Sg.Past.Ind	wohnen
ganz	ADV	ganz
allein	ADV	allein
in	APPR	in
einem	ART.Dat.Sg.Masc	ein
Thale	NN.Dat.Sg.Masc	Thal
und	KON	und
hatte	VAFIN.3.Sg.Past.Ind	haben
drei	CARD	drei
schöne	ADJA.Pos.Acc.Pl.Fem	schön
Töchter	NN.Acc.Pl.Fem	Tochter
;	$.	;
von	APPR	von
denen	PRELS.Dat.Pl.Fem	der
hörte	VVFIN.3.Sg.Past.Ind	hören
ein	ART.Nom.Sg.Masc	ein
Räuberhauptmann	NN.Nom.Sg.Masc	Räuberhauptmann
und	KON	und
fuhr	VVFIN.3.Sg.Past.Ind	fahren
in	APPR	in
einem	ART.Dat.Sg.Masc	ein
prächtigen	ADJA.Pos.Dat.Sg.Masc	prächtig
Wagen	NN.Dat.Sg.Masc	Wagen
hin	PTKVZ	hin
und	KON	und
bat	VVFIN.3.Sg.Past.Ind	bitten
,	$,	,
daß	KOUS	daß
der	ART.Nom.Sg.Masc	der
Müller	NN.Nom.Sg.Masc	Müller
ihn	PPER.3.Acc.Sg.Masc	ihn
doch	ADV	doch
beherbergen	VVINF.Inf	beherbergen
möge	VMFIN.3.Sg.Pres.Subj	mögen
.	$.	.

