Die	ART.Nom.Sg.Fem	der
Trine	NN.Nom.Sg.Fem	Trine
war	VAFIN.3.Sg.Past.Ind	sein
Hansens	NE.Gen.Sg.Masc	Hansen
Braut	NN.Nom.Sg.Fem	Braut
und	KON	und
war	VAFIN.3.Sg.Past.Ind	sein
hübsch	ADJD.Pos	hübsch
,	$,	,
und	KON	und
klug	ADJD.Pos	klug
obendrein	ADV	obendrein
,	$,	,
denn	KON	denn
sie	PPER.3.Nom.Sg.Fem	sie
wollte	VMFIN.3.Sg.Past.Ind	wollen
nur	ADV	nur
essen	VVINF.Inf	essen
und	KON	und
schlafen	VVINF.Inf	schlafen
und	KON	und
nicht	PTKNEG	nicht
arbeiten	VVINF.Inf	arbeiten
,	$,	,
welches	PRELS.Nom.Sg.Neut	welcher
doch	ADV	doch
ganz	ADV	ganz
klug	ADJD.Pos	klug
war	VAFIN.3.Sg.Past.Ind	sein
.	$.	.

