Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
eine	ART.Nom.Sg.Fem	ein
Köchin	NN.Nom.Sg.Fem	Köchin
,	$,	,
die	PRELS.Acc.Sg.Fem	der
hieß	VVFIN.3.Sg.Past.Ind	heißen
Gretel	NE.Nom.Sg.Fem	Gretel
,	$,	,
die	PDS.Nom.Sg.Fem	der
trug	VVFIN.3.Sg.Past.Ind	tragen
Schuhe	NN.Acc.Pl.Masc	Schuh
mit	APPR	mit
roten	ADJA.Pos.Dat.Pl.Masc	rot
Absätzen	NN.Dat.Pl.Masc	Absatz
,	$,	,
und	KON	und
wenn	KOUS	wenn
sie	PPER.3.Nom.Sg.Fem	sie
damit	PROAV	damit
ausging	VVFIN.3.Sg.Past.Ind	ausgehen
,	$,	,
so	ADV	so
drehte	VVFIN.3.Sg.Past.Ind	drehen
sie	PPER.3.Nom.Sg.Fem	sie
sich	PRF.3.Acc.Sg	sich
hin	ADV	hin
und	KON	und
her	ADV	her
,	$,	,
war	VAFIN.3.Sg.Past.Ind	sein
ganz	ADV	ganz
fröhlich	ADJD.Pos	fröhlich
und	KON	und
dachte	VVFIN.3.Sg.Past.Ind	denken
»	$(	»
du	PPER.2.Nom.Sg.*	du
bist	VAFIN.2.Sg.Pres.Ind	sein
doch	ADV	doch
ein	ART.Nom.Sg.Neut	ein
schönes	ADJA.Pos.Nom.Sg.Neut	schönes
Mädel	NN.Nom.Sg.Neut	Mädel
.	$.	.
«	XY	«

