Es	PPER.3.Nom.Sg.Neut	es
wohnten	VVFIN.3.Pl.Past.Ind	wohnen
drey	PROAV	drey
Goldfischlein	NN.Acc.Sg.Neut	Goldfischlein
mit	APPR	mit
ihrer	PPOSAT.Dat.Sg.Fem	ihr
Mutter	NN.Dat.Sg.Fem	Mutter
in	APPR	in
einem	ART.Dat.Sg.Neut	ein
steinigen	ADJA.Pos.Dat.Sg.Neut	steiniger
Wasser	NN.Dat.Sg.Neut	Wasser
;	$.	;
die	ART.Nom.Pl.Masc	der
Sträucher	NN.Nom.Pl.Masc	Sträucher
beugten	VVFIN.3.Pl.Past.Ind	beugen
sich	PRF.3.Acc.Pl	sich
drüber	PROAV	drüber
her	PTKVZ	her
und	KON	und
das	ART.Nom.Sg.Neut	der
Plätzchen	NN.Nom.Sg.Neut	Plätzchen
war	VAFIN.3.Sg.Past.Ind	sein
immer	ADV	immer
düster	ADJD.Pos	düster
und	KON	und
kühl	ADJD.Pos	kühl
.	$.	.

