Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
reicher	ADJA.Pos.Nom.Sg.Masc	reicher
Kaufmann	NN.Nom.Sg.Masc	Kaufmann
,	$,	,
Melchior	NE.Nom.Sg.Masc	Melchior
von	APPR	von
Bremen	NE.Dat.Sg.Neut	Bremen
genannt	VVPP.Psp	nennen
,	$,	,
der	PRELS.Nom.Sg.Masc	der
sich	PRF.3.Acc.Sg	sich
immer	ADV	immer
hohnlächelnd	ADJD.Pos	hohnlächelnd
den	ART.Acc.Sg.Masc	der
Bart	NN.Acc.Sg.Masc	Bart
strich	VVFIN.3.Sg.Past.Ind	streichen
,	$,	,
wenn	KOUS	wenn
vom	APPRART.Dat.Sg.Masc	von
reichen	ADJA.Pos.Dat.Sg.Masc	reich
Mann	NN.Dat.Sg.Masc	Mann
im	APPRART.Dat.Sg.Neut	in
Evangelium	NN.Dat.Sg.Neut	Evangelium
gepredigt	VVPP.Psp	predigen
wurde	VAFIN.3.Sg.Past.Ind	werden
,	$,	,
den	PRELS.Acc.Sg.Masc	der
er	PPER.3.Nom.Sg.Masc	er
,	$,	,
im	APPRART.Dat.Sg.Masc	in
Vergleich	NN.Dat.Sg.Masc	Vergleich
mit	APPR	mit
sich	PRF.3.Dat.Sg	sich
,	$,	,
nur	ADV	nur
für	APPR	für
einen	ART.Acc.Sg.Masc	ein
kleinen	ADJA.Pos.Acc.Sg.Masc	klein
Krämer	NN.Acc.Sg.Masc	Krämer
schätzte	VVFIN.3.Sg.Past.Ind	schätzen
.	$.	.

