Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
junger	ADJA.Pos.Nom.Sg.Masc	junger
Bursch	NN.Nom.Sg.Masc	Bursch
,	$,	,
der	PDS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
die	ART.Acc.Sg.Fem	der
Schlosserhandthierung	NN.Acc.Sg.Fem	Schlosserhandthierung
gelernt	VVPP.Psp	lernen
und	KON	und
sprach	VVFIN.3.Sg.Past.Ind	sprechen
zu	APPR	zu
seinem	PPOSAT.Dat.Sg.Masc	sein
Vater	NN.Dat.Sg.Masc	Vater
,	$,	,
er	PPER.3.Nom.Sg.Masc	er
müßte	VMFIN.3.Sg.Past.Subj	müssen
in	APPR	in
die	ART.Acc.Sg.Fem	der
Welt	NN.Acc.Sg.Fem	Welt
gehen	VVINF.Inf	gehen
und	KON	und
sich	PRF.3.Acc.Sg	sich
versuchen	VVINF.Inf	versuchen
.	$.	.

