Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
Schuster	NN.Nom.Sg.Masc	Schuster
,	$,	,
der	PRELS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
drei	CARD	drei
Söhne	NN.Acc.Pl.Masc	Sohn
und	KON	und
eine	ART.Acc.Sg.Fem	ein
Ziege	NN.Acc.Sg.Fem	Ziege
;	$.	;
die	ART.Nom.Pl.Masc	der
Söhne	NN.Nom.Pl.Masc	Sohn
mußten	VMFIN.3.Pl.Past.Ind	müssen
ihm	PPER.3.Dat.Sg.Masc	ihm
beim	APPRART.Dat.Sg.Neut	bei
Handwerk	NN.Dat.Sg.Neut	Handwerk
helfen	VVINF.Inf	helfen
,	$,	,
und	KON	und
die	ART.Acc.Sg.Fem	der
Ziege	NN.Acc.Sg.Fem	Ziege
mußte	VMFIN.3.Sg.Past.Ind	müssen
sie	PPER.3.Acc.Sg.Fem	sie
mit	APPR	mit
ihrer	PPOSAT.Dat.Sg.Fem	ihr
Milch	NN.Dat.Sg.Fem	Milch
ernähren	VVINF.Inf	ernähren
.	$.	.

