Es	PPER.3.Acc.Sg.Neut	es
lebte	VVFIN.3.Sg.Past.Ind	leben
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
böser	ADJA.Pos.Nom.Sg.Masc	böser
Zauberer	NN.Nom.Sg.Masc	Zauberer
,	$,	,
der	PRELS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
vorlängst	ADV	vorlängst
zwei	CARD	zwei
zarte	ADJA.Pos.Acc.Pl.Neut	zart
Kinder	NN.Acc.Pl.Neut	Kind
geraubt	VVPP.Psp	rauben
,	$,	,
einen	ART.Acc.Sg.Masc	ein
Knaben	NN.Acc.Sg.Masc	Knabe
und	KON	und
ein	ART.Acc.Sg.Neut	ein
Mägdlein	NN.Acc.Sg.Neut	Mägdlein
,	$,	,
mit	APPR	mit
denen	PRELS.Dat.Pl.Neut	der
er	PPER.3.Nom.Sg.Masc	er
in	APPR	in
einer	ART.Dat.Sg.Fem	ein
Höhle	NN.Dat.Sg.Fem	Höhle
ganz	ADV	ganz
einsam	ADJD.Pos	einsam
und	KON	und
einsiedlerisch	ADJD.Pos	einsiedlerisch
hauste	VVFIN.3.Sg.Past.Ind	hausen
.	$.	.

