Es	PPER.3.Acc.Sg.Neut	es
reiste	VVFIN.3.Sg.Past.Ind	reisen
einst	ADV	einst
ein	ART.Nom.Sg.Masc	ein
Pilger	NN.Nom.Sg.Masc	Pilger
über	APPR	über
Land	NN.Acc.Sg.Neut	Land
,	$,	,
der	PRELS.Nom.Sg.Masc	der
kam	VVFIN.3.Sg.Past.Ind	kommen
auf	APPR	auf
seinem	PPOSAT.Dat.Sg.Masc	sein
Wege	NN.Dat.Sg.Masc	Weg
durch	APPR	durch
den	ART.Acc.Sg.Masc	der
Wald	NN.Acc.Sg.Masc	Wald
an	APPR	an
eine	ART.Acc.Sg.Fem	ein
Wolfsgrube	NN.Acc.Sg.Fem	Wolfsgrube
,	$,	,
und	KON	und
nahm	VVFIN.3.Sg.Past.Ind	nehmen
wahr	PTKVZ	wahr
,	$,	,
daß	KOUS	daß
etwas	PIAT.*.*.*	etwas
Lebendiges	NN.Nom.Sg.Neut	Lebendige
darin	PROAV	darin
sei	VAFIN.3.Sg.Pres.Subj	sein
.	$.	.

