Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
und	KON	und
eine	ART.Nom.Sg.Fem	ein
Königin	NN.Nom.Sg.Fem	Königin
,	$,	,
die	PDS.Nom.Pl.*	der
hatten	VAFIN.3.Pl.Past.Ind	haben
einen	ART.Acc.Sg.Masc	ein
Sohn	NN.Acc.Sg.Masc	Sohn
und	KON	und
eine	ART.Acc.Sg.Fem	ein
Tochter	NN.Acc.Sg.Fem	Tochter
,	$,	,
die	PDS.Nom.Pl.*	der
hatten	VAFIN.3.Pl.Past.Ind	haben
sich	PRF.3.Acc.Pl	sich
herzlich	ADJD.Pos	herzlich
lieb	VVFIN.3.Sg.Past.Ind	leiben
.	$.	.

