Zur	APPRART.Dat.Sg.Fem	zu
Sommerszeit	NN.Dat.Sg.Fem	Sommerszeit
gingen	VVFIN.3.Pl.Past.Ind	gehen
einmal	ADV	einmal
der	ART.Nom.Sg.Masc	der
Bär	NN.Nom.Sg.Masc	Bär
und	KON	und
der	ART.Nom.Sg.Masc	der
Wolf	NN.Nom.Sg.Masc	Wolf
im	APPRART.Dat.Sg.Masc	in
Wald	NN.Dat.Sg.Masc	Wald
spaziren	VVINF.Inf	spaziren
,	$,	,
da	ADV	da
hörte	VVFIN.3.Sg.Past.Ind	hören
der	ART.Nom.Sg.Masc	der
Bär	NN.Nom.Sg.Masc	Bär
so	ADV	so
schönen	ADJA.Pos.Acc.Sg.Masc	schön
Gesang	NN.Acc.Sg.Masc	Gesang
von	APPR	von
einem	ART.Dat.Sg.Masc	ein
Vogel	NN.Dat.Sg.Masc	Vogel
und	KON	und
sprach	VVFIN.3.Sg.Past.Ind	sprechen
:	$.	:
»	APPR	»
Bruder	NN.Nom.Sg.Masc	Bruder
Wolf	NE.Nom.Sg.Masc	Wolf
,	$,	,
was	PWS.Nom.Sg.Neut	was
ist	VAFIN.3.Sg.Pres.Ind	sein
das	PDS.Nom.Sg.Neut	der
für	APPR	für
ein	ART.Acc.Sg.Neut	ein
Vogel	NN.Acc.Sg.Neut	Vogel
,	$,	,
der	PRELS.Nom.Sg.Masc	der
so	ADV	so
schön	ADJD.Pos	schön
singt	VVFIN.3.Sg.Pres.Ind	singen
?	$.	?

«	XY	«

