Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
Pilger	NN.Nom.Sg.Masc	Pilger
aus	APPR	aus
Paris	NE.Dat.Sg.Neut	Paris
mit	APPR	mit
Namen	NN.Dat.Pl.Masc	Name
Clemens	NE.Dat.Sg.Masc	Clemens
,	$,	,
der	PRELS.Nom.Sg.Masc	der
kehrte	VVFIN.3.Sg.Past.Ind	kehren
vom	APPRART.Dat.Sg.Neut	von
heiligen	ADJA.Pos.Dat.Sg.Neut	heiliger
Grabe	NN.Dat.Sg.Neut	Grab
zurück	PTKVZ	zurück
und	KON	und
gerieth	ADJD.Pos	gerieth
unter	APPR	unter
die	ART.Acc.Pl.Masc	der
Räuber	NN.Acc.Pl.Masc	Räuber
.	$.	.

