Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
,	$,	,
der	PRELS.Nom.Sg.Masc	der
starb	VVFIN.3.Sg.Past.Ind	sterben
und	KON	und
hinterließ	VVFIN.3.Sg.Past.Ind	hinterlassen
seine	PPOSAT.Acc.Sg.Fem	sein
Frau	NN.Acc.Sg.Fem	Frau
,	$,	,
die	ART.Acc.Sg.Fem	der
Königin	NN.Acc.Sg.Fem	Königin
,	$,	,
und	KON	und
zwei	CARD	zwei
Kinder	NN.Acc.Pl.Neut	Kind
,	$,	,
einen	ART.Acc.Sg.Masc	ein
Sohn	NN.Acc.Sg.Masc	Sohn
und	KON	und
eine	ART.Acc.Sg.Fem	ein
Tochter	NN.Acc.Sg.Fem	Tochter
.	$.	.

