In	APPR	in
Polen	NE.Dat.Sg.Neut	Polen
und	KON	und
Lithauen	NE.Dat.Sg.Neut	Lithauen
giebt	VVFIN.3.Sg.Pres.Ind	gieben
es	PPER.3.Nom.Sg.Neut	es
bekanntlich	ADV	bekanntlich
noch	ADV	noch
viele	PIAT.Acc.Pl.Masc	vieler
Wölfe	NN.Acc.Pl.Masc	Wolf
,	$,	,
welche	PRELS.Nom.Pl.Masc	welcher
die	ART.Acc.Pl.Fem	der
Heerden	NN.Acc.Pl.Fem	Heerde
überfallen	VVFIN.3.Pl.Pres.Ind	überfallen
,	$,	,
und	KON	und
oft	ADV	oft
nicht	PTKNEG	nicht
bloß	ADV	bloß
die	ART.Acc.Pl.Neut	der
Schaafe	NN.Acc.Pl.Neut	Schaaf
wegnehmen	VVFIN.3.Pl.Pres.Ind	wegnehmen
,	$,	,
sondern	KON	sondern
auch	ADV	auch
Kühe	NN.Acc.Pl.Fem	Kuh
und	KON	und
Ochsen	NN.Acc.Pl.Fem	Ochse
anfallen	VVFIN.3.Pl.Pres.Ind	anfallen
.	$.	.

