Ein	ART.Nom.Sg.Masc	ein
Bäcker	NN.Nom.Sg.Masc	Bäcker
backte	VVFIN.3.Sg.Past.Ind	backen
zweierlei	PIAT.*.*.*	zweierlei
Achterbrode	NN.Acc.Sg.Fem	Achterbrode
,	$,	,
große	ADJA.Pos.Acc.Pl.*	groß
und	KON	und
kleine	ADJA.Pos.Acc.Pl.*	klein
,	$,	,
und	KON	und
den	ART.Dat.Pl.*	der
Leuten	NN.Dat.Pl.*	Leute
,	$,	,
welche	PRELS.Nom.Pl.*	welcher
stets	ADV	stets
von	APPR	von
ihm	PPER.3.Dat.Sg.Masc	ihm
kauften	VVFIN.3.Pl.Past.Ind	kaufen
,	$,	,
gab	VVFIN.3.Sg.Past.Ind	geben
er	PPER.3.Nom.Sg.Masc	er
die	ART.Acc.Pl.*	der
großen	ADJA.Pos.Acc.Pl.*	groß
,	$,	,
den	ART.Dat.Pl.*	der
andern	PIS.Dat.Pl.*	anderer
aber	ADV	aber
die	ART.Acc.Pl.*	der
kleinen	ADJA.Pos.Acc.Pl.Masc	klein
.	$.	.

