Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
,	$,	,
der	PDS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
einen	ART.Acc.Sg.Masc	ein
Sohn	NN.Acc.Sg.Masc	Sohn
,	$,	,
der	PRELS.Nom.Sg.Masc	der
warb	VVFIN.3.Sg.Past.Ind	werben
um	APPR	um
die	ART.Acc.Sg.Fem	der
Tochter	NN.Acc.Sg.Fem	Tochter
eines	ART.Gen.Sg.Masc	ein
mächtigen	ADJA.Pos.Gen.Sg.Masc	mächtig
Königs	NN.Gen.Sg.Masc	König
,	$,	,
die	PRELS.Nom.Sg.Fem	der
hieß	VVFIN.3.Sg.Past.Ind	heißen
Jungfrau	NN.Nom.Sg.Fem	Jungfrau
Maleen	NE.Nom.Sg.Fem	Maleen
und	KON	und
war	VAFIN.3.Sg.Past.Ind	sein
wunderschön	ADJD.Pos	wunderschön
.	$.	.

