Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmahl	ADV	einmahl
ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
,	$,	,
der	PRELS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
drey	ADJD.Pos	drey
Töchter	NN.Acc.Pl.Fem	Tochter
,	$,	,
und	KON	und
einen	ART.Acc.Sg.Masc	ein
Sohn	NN.Acc.Sg.Masc	Sohn
,	$,	,
die	PRELS.Acc.Sg.Fem	der
er	PPER.3.Nom.Sg.Masc	er
durch	APPR	durch
einen	ART.Acc.Sg.Masc	ein
Weisen	NN.Acc.Sg.Masc	Weise
erziehen	VVINF.Inf	erziehen
ließ	VVFIN.3.Sg.Past.Ind	lassen
;	$.	;
denn	KON	denn
ihre	PPOSAT.Nom.Sg.Fem	ihr
Mutter	NN.Nom.Sg.Fem	Mutter
war	VAFIN.3.Sg.Past.Ind	sein
frühe	ADJD.Pos	früh
gestorben	VVPP.Psp	sterben
,	$,	,
und	KON	und
er	PPER.3.Nom.Sg.Masc	er
hatte	VAFIN.3.Sg.Past.Ind	haben
zu	PTKA	zu
viele	PIAT.Acc.Pl.Fem	vieler
Sorgen	NN.Acc.Pl.Fem	Sorge
für	APPR	für
sein	PPOSAT.Acc.Sg.Neut	sein
Reich	NN.Acc.Sg.Neut	Reich
,	$,	,
als	KOKOM	als
daß	KOUS	daß
er	PPER.3.Nom.Sg.Masc	er
viel	PIAT.*.*.*	viel
Zeit	NN.Acc.Sg.Fem	Zeit
auf	APPR	auf
die	ART.Acc.Sg.Fem	der
Erziehung	NN.Acc.Sg.Fem	Erziehung
seiner	PPOSAT.Gen.Pl.Neut	sein
Kinder	NN.Gen.Pl.Neut	Kind
hätte	VAFIN.3.Sg.Past.Subj	haben
verwenden	VVINF.Inf	verwenden
können	VMINF.Inf	können
.	$.	.

