Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Neut	ein
kluges	ADJA.Pos.Nom.Sg.Neut	kluge
und	KON	und
verschmitztes	ADJA.Pos.Nom.Sg.Neut	verschmitzt
Bäuerlein	NN.Nom.Sg.Neut	Bäuerlein
,	$,	,
von	APPR	von
dessen	PRELAT.Gen.Sg.Neut	der
Streichen	NN.Dat.Pl.Masc	Streich
viel	PIS.*.*.*	viel
zu	PTKZU	zu
erzählen	VVINF.Inf	erzählen
wäre	VAFIN.3.Sg.Past.Subj	sein
:	$.	:
die	ART.Nom.Sg.Fem	der
schönste	ADJA.Sup.Nom.Sg.Fem	schön
Geschichte	NN.Nom.Sg.Fem	Geschichte
ist	VAFIN.3.Sg.Pres.Ind	sein
aber	ADV	aber
doch	ADV	doch
,	$,	,
wie	PWAV	wie
er	PPER.3.Nom.Sg.Masc	er
den	ART.Acc.Sg.Masc	der
Teufel	NN.Acc.Sg.Masc	Teufel
einmal	ADV	einmal
dran	PROAV	dran
gekriegt	VVPP.Psp	kriegen
und	KON	und
zum	APPRART.Dat.Sg.Masc	zu
Narren	NN.Dat.Sg.Masc	Narr
gehabt	VAPP.Psp	haben
hat	VAFIN.3.Sg.Pres.Ind	haben
.	$.	.

