Ja	PTKANT	ja
,	$,	,
das	PDS.Nom.Sg.Neut	der
war	VAFIN.3.Sg.Past.Ind	sein
der	ART.Nom.Sg.Masc	der
kleine	ADJA.Pos.Nom.Sg.Masc	klein
Tuk	NN.Nom.Sg.Masc	Tuk
;	$.	;
er	PPER.3.Nom.Sg.Masc	er
hieß	VVFIN.3.Sg.Past.Ind	heißen
eigentlich	ADV	eigentlich
nicht	PTKNEG	nicht
Tuk	NN.Acc.Sg.Masc	Tuk
,	$,	,
aber	KON	aber
zu	APPR	zu
der	ART.Dat.Sg.Fem	der
Zeit	NN.Dat.Sg.Fem	Zeit
,	$,	,
als	KOUS	als
er	PPER.3.Nom.Sg.Masc	er
noch	ADV	noch
nicht	PTKNEG	nicht
richtig	ADJD.Pos	richtig
sprechen	VVINF.Inf	sprechen
konnte	VMFIN.3.Sg.Past.Ind	können
,	$,	,
da	ADV	da
nannte	VVFIN.3.Sg.Past.Ind	nennen
er	PPER.3.Nom.Sg.Masc	er
sich	PRF.3.Dat.Sg	sich
selbst	ADV	selbst
Tuk	NN.Acc.Sg.Masc	Tuk
;	$.	;
das	PDS.Nom.Sg.Neut	der
soll	VMFIN.3.Sg.Pres.Ind	sollen
Karl	NE.Nom.Sg.*	Karl
bedeuten	VVINF.Inf	bedeuten
,	$,	,
und	KON	und
es	PPER.3.Nom.Sg.Neut	es
ist	VAFIN.3.Sg.Pres.Ind	sein
gut	ADJD.Pos	gut
,	$,	,
wenn	KOUS	wenn
man	PIS.Nom.Sg.*	man
das	PDS.Acc.Sg.Neut	der
weiß	VVFIN.3.Sg.Pres.Ind	wissen
;	$.	;
er	PPER.3.Nom.Sg.Masc	er
sollte	VMFIN.3.Sg.Past.Ind	sollen
auf	APPR	auf
seine	PPOSAT.Acc.Sg.Fem	sein
Schwester	NN.Acc.Sg.Fem	Schwester
Marie	NE.Nom.Sg.Fem	Marie
achtgeben	VVINF.Inf	achtgeben
,	$,	,
die	PRELS.Nom.Sg.Fem	der
noch	ADV	noch
viel	ADV	viel
kleiner	ADJD.Comp	klein
als	KOKOM	als
er	PPER.3.Nom.Sg.Masc	er
war	VAFIN.3.Sg.Past.Ind	sein
,	$,	,
und	KON	und
dann	ADV	dann
sollte	VMFIN.3.Sg.Past.Ind	sollen
er	PPER.3.Nom.Sg.Masc	er
auch	ADV	auch
seine	PPOSAT.Acc.Sg.Fem	sein
Aufgabe	NN.Acc.Sg.Fem	Aufgabe
lernen	VVINF.Inf	lernen
,	$,	,
aber	KON	aber
beides	PIS.Nom.Sg.Neut	beide
wollte	VMFIN.3.Sg.Past.Ind	wollen
nicht	PTKNEG	nicht
auf	APPR	auf
einmal	ADV	einmal
gehen	VVINF.Inf	gehen
.	$.	.

