Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
,	$,	,
der	PDS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
noch	ADV	noch
nicht	PTKNEG	nicht
lange	ADV	lange
regiert	VVPP.Psp	regieren
,	$,	,
da	ADV	da
kam	VVFIN.3.Sg.Past.Ind	kommen
in	APPR	in
der	ART.Dat.Sg.Fem	der
Nacht	NN.Dat.Sg.Fem	Nacht
eine	ART.Nom.Sg.Fem	ein
Erscheinung	NN.Nom.Sg.Fem	Erscheinung
an	APPR	an
sein	PPOSAT.Acc.Sg.Neut	sein
Bett	NN.Acc.Sg.Neut	Bett
und	KON	und
redete	VVFIN.3.Sg.Past.Ind	reden
ihm	PPER.3.Dat.Sg.Masc	ihm
zu	PTKVZ	zu
,	$,	,
daß	KOUS	daß
er	PPER.3.Nom.Sg.Masc	er
aufstehen	VVINF.Inf	aufstehen
und	KON	und
ihr	PPER.3.Dat.Sg.Fem	ihr
nachfolgen	VVINF.Inf	nachfolgen
solle	VMFIN.3.Sg.Pres.Subj	sollen
.	$.	.

