Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
Müller	NN.Nom.Sg.Masc	Müller
,	$,	,
der	PRELS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
drei	CARD	drei
Töchter	NN.Acc.Pl.Fem	Tochter
,	$,	,
die	PDS.Nom.Pl.Fem	der
mußten	VMFIN.3.Pl.Past.Ind	müssen
ihm	PPER.3.Dat.Sg.Masc	ihm
die	ART.Nom.Pl.Fem	der
Kühe	NN.Nom.Pl.Fem	Kuh
auf	APPR	auf
der	ART.Dat.Sg.Fem	der
Weide	NN.Dat.Sg.Fem	Weide
hüten	VVINF.Inf	pflichtbewußt
der	ART.Dat.Sg.Fem	der
Reihe	NN.Dat.Sg.Fem	Reihe
nach	PTKVZ	nach
,	$,	,
am	APPRART.Dat.Sg.Masc	an
ersten	ADJA.Pos.Dat.Sg.Masc	erster
Tag	NN.Dat.Sg.Masc	Tag
die	ART.Nom.Sg.Fem	der
älteste	ADJA.Sup.Nom.Sg.Fem	alt
,	$,	,
dann	ADV	dann
die	ART.Nom.Sg.Fem	der
zweite	ADJA.Pos.Nom.Sg.Fem	zweiter
,	$,	,
am	PTKA	am
dritten	ADJD.Sup	dritten
die	ART.Acc.Sg.Fem	der
jüngste	ADJA.Sup.Nom.Sg.Fem	jung
.	$.	.

