Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
Förster	NN.Nom.Sg.Masc	Förster
,	$,	,
der	ART.Nom.Sg.Masc	der
litt	VVFIN.3.Sg.Past.Ind	leiden
große	ADJA.Pos.Acc.Sg.Fem	groß
Noth	NN.Acc.Sg.Fem	Noth
mit	APPR	mit
Weib	NN.Dat.Sg.Masc	Weib
und	KON	und
Kind	NN.Dat.Sg.Neut	Kind
,	$,	,
und	KON	und
so	ADV	so
manchen	PIAT.Acc.Sg.Masc	mancher
Tag	NN.Acc.Sg.Masc	Tag
schien	VVFIN.3.Sg.Past.Ind	scheinen
die	ART.Nom.Sg.Fem	der
liebe	ADJA.Pos.Nom.Sg.Fem	lieb
Sonne	NN.Nom.Sg.Fem	Sonne
ihm	PPER.3.Dat.Sg.Masc	ihm
in's	APPRART.Acc.Sg.Neut	in
Haus	NN.Acc.Sg.Neut	Haus
hinein	PTKVZ	hinein
und	KON	und
war	VAFIN.3.Sg.Past.Ind	sein
doch	ADV	doch
kein	PIAT.Nom.Sg.Neut	kein
Stücklein	NN.Nom.Sg.Neut	Stücklein
Brod	NN.Nom.Sg.Neut	Brod
darin	PROAV	darin
.	$.	.

