Es	PPER.3.Acc.Sg.Neut	es
lebte	VVFIN.3.Sg.Past.Ind	leben
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
,	$,	,
in	APPR	in
dessen	PRELAT.Gen.Sg.Masc	der
Reiche	NN.Dat.Sg.Fem	Reiche
war	VAFIN.3.Sg.Past.Ind	sein
ein	ART.Nom.Sg.Masc	ein
großer	ADJA.Pos.Nom.Sg.Masc	großer
Wald	NN.Nom.Sg.Masc	Wald
,	$,	,
worin	PWAV	worin
sich	PRF.3.Acc.Sg	sich
ein	ART.Nom.Sg.Neut	ein
ungeheures	ADJA.Pos.Nom.Sg.Neut	ungeheures
wildes	ADJA.Pos.Nom.Sg.Neut	wild
Schwein	NN.Nom.Sg.Neut	Schwein
aufhielt	VVFIN.3.Sg.Past.Ind	aufhalten
,	$,	,
welches	PRELS.Nom.Sg.Neut	welcher
das	ART.Nom.Sg.Neut	der
ganze	ADJA.Pos.Acc.Sg.Neut	ganze
Land	NN.Acc.Sg.Neut	Land
verheerte	VVFIN.3.Sg.Past.Ind	verheeren
,	$,	,
und	KON	und
Kinder	NN.Acc.Pl.Neut	Kind
und	KON	und
Erwachsene	NN.Acc.Pl.*	Erwachsene
tödtete	VVFIN.3.Sg.Past.Ind	tödten
.	$.	.

