Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
in	APPR	in
einem	ART.Dat.Sg.Neut	ein
Kloster	NN.Dat.Sg.Neut	Kloster
ein	ART.Nom.Sg.Masc	ein
junger	ADJA.Pos.Nom.Sg.Masc	junger
Mönch	NN.Nom.Sg.Masc	Mönch
,	$,	,
des	ART.Gen.Sg.Masc	der
Namens	NN.Gen.Sg.Masc	Name
Urbanus	NE.Nom.Sg.Masc	Urbanus
,	$,	,
gar	ADV	gar
fromm	ADJD.Pos	fromm
und	KON	und
fleißig	ADJD.Pos	fleißig
,	$,	,
dem	PDS.Dat.Sg.Masc	der
war	VAFIN.3.Sg.Past.Ind	sein
der	ART.Nom.Sg.Masc	der
Schlüssel	NN.Nom.Sg.Masc	Schlüssel
zur	APPRART.Dat.Sg.Fem	zu
Bücherei	NN.Dat.Sg.Fem	Bücherei
des	ART.Gen.Sg.Neut	der
Klosters	NN.Gen.Sg.Neut	Kloster
anvertraut	VVPP.Psp	anvertrauen
,	$,	,
und	KON	und
er	PPER.3.Nom.Sg.Masc	er
hütete	VVFIN.3.Sg.Past.Ind	hüten
sorglich	ADJD.Pos	sorglich
diesen	PDAT.Acc.Sg.Masc	dieser
Schatz	NN.Acc.Sg.Masc	Schatz
,	$,	,
schrieb	VVFIN.3.Sg.Past.Ind	schreiben
selbst	ADV	selbst
manches	PIAT.Acc.Sg.Neut	mancher
schöne	ADJA.Pos.Acc.Sg.Neut	schöne
Buch	NN.Acc.Sg.Neut	Buch
und	KON	und
studierte	VVFIN.3.Sg.Past.Ind	studieren
viel	PIS.*.*.*	viel
in	APPR	in
den	ART.Dat.Pl.Neut	der
andern	ADJA.Pos.Dat.Pl.Neut	anderer
Büchern	NN.Dat.Pl.Neut	Buch
und	KON	und
in	APPR	in
der	ART.Dat.Sg.Fem	der
heiligen	ADJA.Pos.Dat.Sg.Fem	heiliger
Schrift	NN.Dat.Sg.Fem	Schrift
.	$.	.

