Ein	ART.Nom.Sg.Masc	ein
Schneidergesell	NN.Nom.Sg.Masc	Schneidergesell
reiste	VVFIN.3.Sg.Past.Ind	reisen
in	APPR	in
der	ART.Dat.Sg.Fem	der
Welt	NN.Dat.Sg.Fem	Welt
auf	APPR	auf
sein	PPOSAT.Acc.Sg.Neut	sein
Handwerk	NN.Acc.Sg.Neut	Handwerk
herum	PTKVZ	herum
;	$.	;
nun	ADV	nun
konnt	VVFIN.3.Sg.Pres.Ind	konnen
'	$(	'
er	PPER.3.Nom.Sg.Masc	er
einmal	ADV	einmal
keine	PIAT.Acc.Sg.Fem	kein
Arbeit	NN.Acc.Sg.Fem	Arbeit
finden	VVINF.Inf	finden
und	KON	und
war	VAFIN.3.Sg.Past.Ind	sein
die	ART.Nom.Sg.Fem	der
Armuth	NE.Nom.Sg.Fem	Armuth
bei	APPR	bei
ihm	PPER.3.Dat.Sg.Masc	ihm
so	ADV	so
groß	ADJD.Pos	groß
,	$,	,
daß	KOUS	daß
er	PPER.3.Nom.Sg.Masc	er
keinen	PIAT.Acc.Sg.Masc	kein
Heller	NN.Acc.Sg.Masc	Heller
Zehrgeld	NN.Acc.Sg.Neut	Zehrgeld
hatte	VAFIN.3.Sg.Past.Ind	haben
.	$.	.

