Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
eine	ART.Nom.Sg.Fem	ein
Mutter	NN.Nom.Sg.Fem	Mutter
und	KON	und
ein	ART.Nom.Sg.Neut	ein
Kind	NN.Nom.Sg.Neut	Kind
,	$,	,
und	KON	und
die	ART.Nom.Sg.Fem	der
Mutter	NN.Nom.Sg.Fem	Mutter
hatte	VAFIN.3.Sg.Past.Ind	haben
das	ART.Acc.Sg.Neut	der
Kind	NN.Acc.Sg.Neut	Kind
,	$,	,
ihr	PPOSAT.Acc.Sg.Neut	ihr
einziges	ADJA.Pos.Nom.Sg.Neut	einziger
,	$,	,
lieb	VVFIN.3.Sg.Past.Ind	leiben
von	APPR	von
ganzem	ADJA.Pos.Dat.Sg.Neut	ganzem
Herzen	NN.Dat.Sg.Neut	Herz
,	$,	,
und	KON	und
konnte	VMFIN.3.Sg.Past.Ind	können
ohne	APPR	ohne
das	ART.Acc.Sg.Neut	der
Kind	NN.Acc.Sg.Neut	Kind
nicht	PTKNEG	nicht
leben	VVINF.Inf	leben
und	KON	und
nicht	PTKNEG	nicht
sein	VAINF.Inf	sein
.	$.	.

