Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
,	$,	,
der	PRELS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
einen	ART.Acc.Sg.Masc	ein
Soldaten	NN.Acc.Sg.Masc	Soldat
zum	APPRART.Dat.Sg.Masc	zu
Diener	NN.Dat.Sg.Masc	Diener
,	$,	,
wie	PWAV	wie
der	PDS.Nom.Sg.Masc	der
ganz	ADV	ganz
alt	ADJD.Pos	alt
wurde	VAFIN.3.Sg.Past.Ind	werden
und	KON	und
unbrauchbar	ADJD.Pos	unbrauchbar
,	$,	,
schickte	VVFIN.3.Sg.Past.Ind	schicken
er	PPER.3.Nom.Sg.Masc	er
ihn	PPER.3.Acc.Sg.Masc	ihn
fort	PTKVZ	fort
und	KON	und
gab	VVFIN.3.Sg.Past.Ind	geben
ihm	PPER.3.Dat.Sg.Masc	ihm
nichts	PIS.*.*.Neut	nichts
.	$.	.

