Ein	ART.Nom.Sg.Masc	ein
König	NN.Nom.Sg.Masc	König
hatte	VAFIN.3.Sg.Past.Ind	haben
seine	PPOSAT.Acc.Sg.Fem	sein
größte	ADJA.Sup.Acc.Sg.Fem	groß
Freude	NN.Acc.Sg.Fem	Freude
an	APPR	an
großen	ADJA.Pos.Dat.Pl.Masc	groß
stolzen	ADJA.Pos.Dat.Pl.Masc	stolz
Soldaten	NN.Dat.Pl.Masc	Soldat
und	KON	und
schönen	ADJA.Pos.Dat.Pl.Neut	schön
weißen	ADJA.Pos.Dat.Pl.Neut	weiß
Schilderhäuschen	NN.Dat.Pl.Neut	Schilderhäusch
und	KON	und
konnte	VMFIN.3.Sg.Past.Ind	können
es	PPER.3.Acc.Sg.Neut	es
ums	APPRART.Acc.Sg.Neut	um
Leben	NN.Acc.Sg.Neut	Leben
nicht	PTKNEG	nicht
ausstehn	VVINF.Inf	ausstehen
,	$,	,
wenn	KOUS	wenn
Namen	NN.Nom.Pl.Masc	Name
oder	KON	oder
Sprüche	NN.Nom.Pl.Masc	Spruch
oder	KON	oder
Reimchen	NN.Nom.Pl.Neut	Reimchen
auf	APPR	auf
die	ART.Acc.Pl.Neut	der
Schilderhäuschen	NN.Acc.Pl.Neut	Schilderhäuschen
geschrieben	VVPP.Psp	schreiben
waren	VAFIN.3.Pl.Past.Ind	sein
;	$.	;
das	PDS.Acc.Sg.Neut	der
hatte	VAFIN.3.Sg.Past.Ind	haben
er	PPER.3.Nom.Sg.Masc	er
bei	APPR	bei
Todesstrafe	NN.Dat.Sg.Fem	Todesstrafe
verboten	VVPP.Psp	verbieten
.	$.	.

