Ein	ART.Nom.Sg.Masc	ein
Engel	NN.Nom.Sg.Masc	Engel
sagte	VVFIN.3.Sg.Past.Ind	sagen
einst	ADV	einst
zum	APPRART.Dat.Sg.Masc	zu
lieben	ADJA.Pos.Dat.Sg.Masc	lieb
Gott	NN.Dat.Sg.Masc	Gott
:	$.	:
»	PPER.1.Nom.Sg.*	»
ich	PPER.1.Nom.Sg.*	ich
möchte	VMFIN.1.Sg.Pres.Ind	möchten
doch	ADV	doch
auch	ADV	auch
einmal	ADV	einmal
auf	APPR	auf
die	ART.Acc.Sg.Fem	der
Erde	NN.Acc.Sg.Fem	Erde
und	KON	und
möchte	VMFIN.1.Sg.Pres.Ind	möchten
sehen	VVINF.Inf	sehen
,	$,	,
wie	PWAV	wie
es	PPER.3.Nom.Sg.Neut	es
dort	ADV	dort
zugeht	VVFIN.3.Sg.Pres.Ind	zugehen
.	$.	.
«	XY	«

