Es	PPER.3.Acc.Sg.Neut	es
lebte	VVFIN.3.Sg.Past.Ind	leben
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
sehr	ADV	sehr
armer	ADJA.Pos.Nom.Sg.Masc	armer
Mann	NN.Nom.Sg.Masc	Mann
,	$,	,
hieß	VVFIN.3.Sg.Past.Ind	heißen
Klaus	NE.Nom.Sg.Masc	Klaus
,	$,	,
dem	PDS.Dat.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
Gott	NN.Nom.Sg.Masc	Gott
eine	ART.Acc.Sg.Fem	ein
Fülle	NN.Acc.Sg.Fem	Fülle
Reichtum	NN.Nom.Sg.Masc	Reichtum
beschert	VVPP.Psp	bescheren
,	$,	,
der	PRELS.Nom.Sg.Masc	der
ihm	PPER.3.Dat.Sg.Masc	ihm
große	ADJA.Pos.Acc.Sg.Fem	groß
Sorge	NN.Acc.Sg.Fem	Sorge
machte	VVFIN.3.Sg.Past.Ind	machen
,	$,	,
nämlich	ADV	nämlich
zwölf	CARD	zwölf
Kinder	NN.Acc.Pl.Neut	Kind
,	$,	,
und	KON	und
über	APPR	über
ein	ART.Acc.Sg.Neut	ein
kleines	ADJA.Pos.Acc.Sg.Neut	klein
so	ADV	so
kam	VVFIN.3.Sg.Past.Ind	kommen
noch	ADV	noch
ein	ART.Nom.Sg.Neut	ein
Kleines	NN.Nom.Sg.Neut	Kleines
,	$,	,
das	PDS.Nom.Sg.Neut	der
war	VAFIN.3.Sg.Past.Ind	sein
das	ART.Nom.Sg.Neut	der
dreizehnte	ADJA.Pos.Nom.Sg.Neut	dreizehnte
Kind	NN.Nom.Sg.Neut	Kind
.	$.	.

