Es	PPER.3.Nom.Sg.Neut	es
war	VAFIN.3.Sg.Past.Ind	sein
einmal	ADV	einmal
ein	ART.Nom.Sg.Masc	ein
alter	ADJA.Pos.Nom.Sg.Masc	alter
Soldat	NN.Nom.Sg.Masc	Soldat
,	$,	,
der	PDS.Nom.Sg.Masc	der
wurde	VAFIN.3.Sg.Past.Ind	werden
genannt	VVPP.Psp	nennen
der	ART.Nom.Sg.Masc	der
alte	ADJA.Pos.Nom.Sg.Masc	alt
Fritz	NE.Nom.Sg.Masc	Fritz
,	$,	,
der	PDS.Nom.Sg.Masc	der
hatte	VAFIN.3.Sg.Past.Ind	haben
nur	ADV	nur
noch	ADV	noch
drei	CARD	drei
Sechser	NN.Acc.Pl.Masc	Sechser
in	APPR	in
seinem	PPOSAT.Dat.Sg.Neut	sein
ganzen	ADJA.Pos.Dat.Sg.Neut	ganzen
Vermögen	NN.Dat.Sg.Neut	Vermögen
und	KON	und
damit	PROAV	damit
ging	VVFIN.3.Sg.Past.Ind	gehen
er	PPER.3.Nom.Sg.Masc	er
in	APPR	in
die	ART.Acc.Sg.Fem	der
Welt	NN.Acc.Sg.Fem	Welt
.	$.	.

